"","business_id","stars","alcohol","divey","casual","bikeparking","businessacceptscreditcards","goodforkids","dessert","latenight","lunch","dinner","brunch","hastv","restaurantsdelivery"
"238","Wbi-x-1Nbn6LFCMOSN6F5Q",2.5,"none",0,1,1,1,1,0,0,1,1,0,0,0
"240","bCp4qpBzL_chlJtHbiVF5Q",3.5,"none",0,0,0,1,1,0,0,0,0,0,0,0
"241","rYVIEEW5O3ZUKCqNg1hiNA",2.5,"none",0,0,0,1,1,0,0,0,0,0,0,0
"244","tbZ-vAxGDlRIp3FWiT4JRw",3,"none",0,0,0,1,1,0,0,0,0,0,0,0
"245","dRib7YK9Mtqgvfqsf-PKrw",5,"beerandwine",0,0,1,1,1,0,0,0,0,0,1,0
"247","HumV0E5AE0MmyusDpd0b7w",2.5,"none",1,0,1,1,1,0,1,0,0,0,0,0
"252","l_pR3x7v2mvE3luVdmGuoQ",3,"fullbar",0,0,0,1,1,0,0,0,1,0,0,0
"253","3IwCop28R1_L5jMv6AkL8Q",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"254","Mrh6EoDcsDWmvWBPmK7ncw",3.5,"none",1,0,1,1,1,0,0,1,0,0,0,1
"256","q1R2R9i3TkH94x-CwP-l4w",3.5,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"258","5Y-p9QJLrg2P0I8RjJ9TTQ",3,"none",0,0,1,1,0,0,0,0,0,0,0,1
"259","4NxIM5xpIEem1IkEkz2I7Q",3.5,"beerandwine",0,1,1,1,1,0,0,1,0,0,0,1
"260","b8fEuQPrf383f6pzdm8-1w",3.5,"fullbar",0,0,1,1,1,0,0,1,1,0,1,0
"261","M990h0-4g-wpJN-qlnqFAg",3,"none",0,1,0,1,1,0,0,1,0,0,0,0
"263","dTtMrvC0UoDV-3-8diJYLw",3.5,"beerandwine",0,0,1,1,1,0,0,1,1,0,0,1
"264","sH3UsolKjik01u0HlQ9_0Q",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"266","66EYUS3iichq-Gn6KjgX2A",2,"none",0,0,1,1,1,0,0,0,0,0,1,0
"269","rca1HN4qRsZfmpxmlFWNDQ",3.5,"none",0,1,1,1,1,0,0,1,1,0,0,0
"270","g-Q3rLkyGT-TtiRgE-PvgA",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,1
"272","c_xCs0pCLZVM6ImvqXEFPA",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"273","-ZaQKvtRGQA-4FoUE_1s4w",4.5,"none",0,0,1,1,1,0,0,1,1,0,1,1
"274","OD09pm-MzynigAvD5KoGPA",4.5,"none",0,1,1,1,1,0,0,1,0,0,1,0
"275","SDdB_gFAWW23cNmtwT-dAA",3.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"276","ibOX3CypYVz0nJhCN5Wmcw",2.5,"fullbar",0,1,0,1,1,0,0,1,0,0,0,0
"280","9MJDPVeLqAWLqdWF4Heqvg",3,"beerandwine",0,1,1,1,1,0,0,1,0,0,1,0
"282","bLh4ysq5RsbzCNSjqHhwyw",3,"fullbar",0,1,1,1,1,0,0,1,0,0,1,1
"283","eajXb034hm_9M6OgN47LKA",3,"fullbar",1,0,1,1,0,0,0,1,0,0,1,0
"284","JQWIZ8MT-VGZzO5W5XCB5Q",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,1
"286","9d7N-I00hu-VkXFry4Da-g",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"288","vBV5IbpTgUKuu2HlneE2NA",3.5,"beerandwine",0,1,1,1,1,0,0,1,0,0,0,1
"296","QdvROupQvDDQIaHrTGNgKA",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"298","fuQpzuHPLt8pnJ49j74qCQ",3,"none",0,1,0,1,1,0,0,0,0,0,1,0
"307","aqbY6f-ZqJ7wnUSll3BxLA",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,1
"308","_BCwZIK6GYht9cM-HGLduQ",5,"none",1,0,1,1,1,0,0,0,0,0,1,0
"310","6XpqswYWoSOx0a9MkosVRA",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"312","yLTATolCkihuQ-TFaEPJkQ",2.5,"none",0,0,1,1,1,0,0,1,0,0,0,0
"313","4HVGgGI5rKvUJcaIV7ub7Q",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,1
"315","kNij6LlC65nxugxAJyEGVw",2,"none",0,0,0,1,1,0,0,0,0,0,0,1
"316","FTA0Gt1BQbuA0OPEfV1R6w",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"317","CrwL7Y-jdzno4mmV7CN67A",4,"none",0,1,0,1,1,0,0,1,0,1,0,0
"320","JJzAOl3kQLfhOzB_vjf3FQ",3.5,"none",0,0,1,1,1,0,0,0,0,0,1,0
"324","eRjcli4nDHRwhByViUz9Ow",3,"none",0,1,1,1,1,0,0,0,1,0,1,1
"326","9V9RlgqqnPFQJfF_e9Lnmw",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,1
"327","2FWFAqM-jqKUU8WqHSp-LQ",3.5,"none",0,1,1,1,1,0,0,1,1,0,0,1
"330","keQlXWfz2K7GukqaReVyow",3.5,"fullbar",0,1,1,1,1,0,0,0,1,0,1,1
"331","KdQM64AQ5_ppgs6RolwJ4w",4,"none",0,0,0,1,1,0,0,0,0,1,1,0
"332","4X4a-TJnivv8YtK1YGxcQQ",3,"fullbar",1,0,1,1,1,1,0,0,0,0,1,0
"334","jCf84-Amxm91rbNAOJtAcg",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"335","BQJokxJ4y4s57i7Mn65pvA",3.5,"fullbar",0,1,0,1,1,0,0,0,1,0,1,0
"336","mbfu9ag4VQYIi6dvhCX2dQ",3,"fullbar",0,0,1,1,1,0,0,0,0,0,1,0
"338","_bpNAXZqG28e8XplS1wbpw",3,"none",0,0,1,1,1,0,0,1,0,0,1,0
"339","2_jWcWOew5DA6wR7_eH36Q",4,"none",0,0,1,1,1,0,0,1,1,0,0,0
"349","AUFFJBCh6spwBFJI6SnITg",3,"none",1,0,1,1,1,0,0,0,1,0,0,1
"350","rIeXMt92PLNjZbemWKRXcA",4,"none",0,1,1,1,1,0,0,1,1,0,1,1
"355","kzuQsq0KPWLeKFtnLXXyHg",4,"none",1,0,1,1,1,0,0,1,1,0,0,1
"357","a5xUI7TvsNhM5gZr6KowDg",3.5,"fullbar",0,1,0,1,1,0,0,1,1,0,1,1
"358","YKImxc9VimLbDl2sQN1BBQ",3.5,"fullbar",0,1,0,1,1,0,0,1,1,0,1,1
"364","x3LoVFuzVIPK_J-kDZORdg",3.5,"fullbar",0,1,1,1,1,1,0,0,0,0,1,0
"366","QteBKpZTRa2dJ3u7MLiXww",4,"none",0,1,1,1,1,0,0,1,1,0,1,0
"367","dXI95VscrvdWu5qu6CjnWQ",4.5,"beerandwine",0,0,1,1,1,0,0,0,0,0,1,0
"371","xwoM2Zc38DFKv3-8dCU8Pw",3,"none",0,0,1,1,1,0,0,1,1,0,1,1
"376","Es-MfCr79uHI-CSrzkea-w",3,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"378","NvyjzqSF55Ghe3GrIIYEcw",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"380","pJdPcHkqtaLF47pS0LxdYQ",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"381","-rCIoxp7pqN3xY7E3-v56Q",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"384","QC9bLPcNk6ymAOHf03pHhQ",3,"none",0,0,1,1,1,0,0,0,0,0,0,0
"387","me17NOULVwu40AdKGYHIaQ",4,"none",0,0,1,1,1,1,0,0,0,0,1,1
"390","8IblwilNlenDVwBbEzQEVg",4,"beerandwine",1,0,0,1,1,0,0,1,1,0,1,0
"392","6e0Abng1LRexKI4LRJTX_A",4,"none",0,1,1,1,1,0,0,0,1,1,1,0
"394","6C_8Mh4lmLc_QEs3hHleBg",4,"none",0,1,1,0,1,0,0,1,1,0,0,0
"397","3pGA9YGsDLRQ7HJLw5cwcQ",4,"none",0,1,1,1,1,0,0,1,1,0,1,0
"403","2F2xrnxCJ_WdXfWGxJcn_g",2,"none",0,0,0,1,1,0,0,1,0,0,0,0
"406","Ozf92eEJSwwb3LbO50cvag",3.5,"fullbar",0,1,1,1,1,0,0,1,0,0,1,0
"409","GH5gbLHw05toW6ePNIUzTw",4.5,"none",0,0,1,1,1,0,0,0,0,0,1,1
"417","rgTcICdtCXoNXc71Z7-t5g",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,0,1
"418","VXKIx4WUGw3jNad0BOcFYQ",4,"none",0,0,0,1,1,0,0,0,0,0,1,1
"419","PmkXtqIcjQGpNShB8yTSrA",2.5,"fullbar",0,1,1,1,1,0,0,0,1,0,1,1
"425","N-tpz2XtAPreL5wnFjKGwA",4.5,"none",0,0,1,1,1,0,0,0,0,0,1,1
"426","ZqP_j4ZTFSN5dkHYF0Lobw",4.5,"none",0,0,1,1,1,0,0,0,0,0,0,1
"427","3v1c2BsFFcWlpV3S3LS8dA",3.5,"none",0,1,1,1,1,0,0,1,0,0,0,0
"432","R6cWq0FkVfV_Ee-YttlPyA",2,"beerandwine",0,1,0,1,1,0,0,0,0,0,0,0
"437","XDYCIRENiT2doRZgwNJ3SA",2.5,"none",0,1,1,1,1,0,1,1,0,1,1,0
"441","7gIK3en6jVyiColBvlHNPA",3,"none",0,0,0,1,1,0,0,0,0,0,0,0
"443","0nlocywsFHQmEt8_xbHNiw",3.5,"none",0,1,0,1,1,0,0,0,1,0,1,1
"444","daLsASi-J8zee8cpZSnqjQ",3.5,"none",1,1,1,1,1,0,1,1,1,0,0,0
"447","fnaDx7UD4MiodQlgYHDwsQ",4,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"452","paNjgpMDRhNzBj6xzhHPVQ",4,"beerandwine",0,1,0,1,1,0,0,1,1,0,1,0
"454","yBHltbm3DqNaKgBgTMpxsA",4,"none",0,1,1,1,1,0,0,0,0,0,0,1
"471","nBwOIq5KI-zmxp061dTmgw",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"474","htNNxttBjRmRnP4d0XFl-w",2.5,"none",0,0,0,1,1,0,0,1,1,0,0,1
"480","3z6gQVDbWuykm-a8R1YyJg",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,1
"481","dazGlP4Rk4nxlyMtlvkpvA",2.5,"fullbar",0,0,1,1,1,0,0,1,1,0,1,1
"483","pr8Mha_nXhkONtwmj9ka4g",3.5,"fullbar",0,1,0,1,1,0,0,1,1,0,1,0
"486","KJ6DuC0Jve9hAtzM2SGNOQ",3.5,"none",0,1,1,1,1,0,0,1,0,0,0,0
"488","618yZxC6stz-Un4xLsp5vw",3.5,"none",0,1,1,1,1,0,0,1,0,0,1,1
"492","jv1sbEWUJRHeUff1xZtqWg",3,"none",0,1,1,1,1,1,0,1,0,0,0,0
"493","815I4_qtNd9Whd5joLZhAQ",2,"none",0,0,1,1,0,0,1,0,0,0,1,1
"494","c7ZTyqSG4v4ZVwK3vuDklQ",4,"none",0,1,1,1,1,0,1,1,1,0,0,0
"495","SpCVf25ya5jsHItdkpBpUg",3.5,"fullbar",0,0,1,1,1,0,0,1,1,0,0,0
"496","tIauOelAC3BZk_xhMoDBUg",3.5,"beerandwine",0,1,1,1,1,0,0,1,0,0,0,0
"499","l7BLw7-bKVD7fImtls4Lfw",4,"none",1,0,1,1,1,0,0,1,1,0,1,0
"503","MVLZqbw6vOkCjFApRBlSfQ",2.5,"beerandwine",0,0,1,1,1,0,0,1,0,0,1,0
"508","9zclqTtkncm_ayNJ58iJbg",4,"none",1,0,1,1,1,0,0,0,0,0,1,0
"509","WgvJcTe_RdlIfnvxEzn2Mg",4,"none",0,1,1,1,1,0,1,1,1,1,0,0
"511","ZLG7N4VDGzo7V0ViITi93Q",4,"none",0,1,1,1,1,0,0,1,1,0,1,0
"512","i4Z5pJOl_EYmq7gbiF91Xw",3,"none",0,0,1,1,1,0,0,0,0,0,0,1
"513","SgPfkKWoG-23WMWQCT8ymg",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"514","UDucqwO8PwUOwcmUsJ-gOA",4.5,"none",0,1,0,1,1,0,0,1,1,0,1,0
"515","VzSUgIOcyO7JmTwYDnyivQ",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"517","ocXPQsWEpC0KF6tZezEBpA",3,"none",0,0,0,1,1,0,0,0,0,0,1,0
"519","Mq8QTBAR7r-vUL6C2JVkRA",3,"none",0,0,1,1,1,0,0,0,0,0,0,0
"525","dHTGzM4_3kKEiQvab9mi9A",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,1
"527","Xww2E2ym5cWX3-91Ml5Bfw",3.5,"fullbar",0,1,0,1,1,0,0,1,0,0,0,0
"528","3R28YY7Jw_EJs0-X8qDArw",4,"none",0,1,1,1,1,0,0,1,0,0,0,1
"531","s6KtKeubYAa-sY9OC3i58Q",3.5,"none",0,0,0,1,1,0,0,0,0,0,0,0
"533","IhbvQcaLJh80JhJA-OPv1w",3.5,"none",0,0,1,1,1,0,0,0,0,0,0,0
"534","KzLjbXEDH1e1WrfzrrzZKw",3,"none",0,1,1,1,1,0,0,1,0,0,0,0
"535","Ef9crW61OYp2UJ0ysi3nEw",3,"none",0,1,1,1,0,0,0,1,1,0,0,0
"538","vNwj8u1KbnKPQFMTd3TDWw",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"539","tFcmrGLZNEymSnijoTPmqw",4,"fullbar",0,1,1,1,1,0,0,1,1,0,0,0
"543","n5wZxYrle8ROuK-Saq-yyw",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"544","HwV2hQr7fbpiG8wODWJQ1w",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"545","oK_uwtOectm906rpUtHiug",1.5,"none",0,0,1,1,1,0,0,0,0,0,0,1
"547","m-xsH8VkcYtTTvp2Fa6Ajw",3,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"549","oXIYs7rxT-bdgpeYzBfrzA",4,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"552","aTvmLm3YfTs_L290fEolEw",3,"beerandwine",0,0,1,1,1,0,0,0,0,0,0,0
"554","2jx_SaBzvIdIwul4JoY9IA",4,"none",0,1,0,1,1,0,0,1,1,0,0,0
"558","mWEltFSw33nARGPLvZiAJw",4,"none",1,0,0,1,1,0,0,1,0,0,1,0
"562","TrN8HBHBL4-Tu7cXMDoopQ",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,0,1
"568","FTVDICd-uxoEGYh4pU0pcw",3.5,"none",0,1,1,1,1,0,0,1,1,0,1,1
"575","5MlgZwfmaegOL7_FJ3b7lA",4.5,"none",0,1,1,1,1,1,0,0,0,0,0,0
"576","YsGN4k4N4a5LWxe6H-yviA",2.5,"none",0,0,0,1,1,0,0,1,0,0,0,1
"578","aS4t4ee3xqQXgNHNxi9gAA",3.5,"none",0,1,1,1,1,0,0,1,1,0,0,1
"579","DXCho3TSX6qKsRoEjGoGJg",3.5,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"580","32u4chtkG4fIa52396iOhw",1.5,"none",0,0,0,1,1,0,0,1,0,0,0,1
"582","cf0LXwdYZ_9y0BVK-un9ow",3.5,"fullbar",0,1,1,1,1,0,1,0,0,0,1,1
"584","hTe5SavBjp3zRulupZSJew",3.5,"fullbar",0,1,1,1,1,0,0,1,1,0,1,1
"586","JUiIEt5wW7ImwOdpEc-r0Q",2,"none",0,0,1,1,0,0,0,1,1,0,1,1
"593","I3STZd5iAvUL9MNLF_DUug",3.5,"fullbar",0,1,0,1,1,0,0,1,0,0,1,0
"595","I5YF1kl3LCVM6nDeP8rUzQ",3.5,"beerandwine",0,1,1,1,1,0,0,0,1,0,1,1
"600","7os-CT7QI8P_sy1QKwhzjg",3,"fullbar",0,1,1,1,1,0,0,1,1,0,1,0
"602","TZl7YBuzo5awZP8QJDLg_w",3,"fullbar",0,1,0,1,1,0,0,1,1,0,1,0
"604","8F9C5vhDlYphBWELUgLkvQ",3.5,"none",0,1,1,1,1,0,0,1,0,0,1,0
"605","LiBnff-ZuzW16zIvZgFOfQ",3.5,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,0
"609","czJKX4DmZR_1JeRmPcnmbQ",4.5,"none",0,1,1,1,1,0,0,1,0,0,0,0
"619","OW8ZTM0Bd6R0BH6u-6Wkag",3.5,"beerandwine",0,1,0,1,1,0,0,1,1,0,0,0
"621","h-whOh2Bu2rL6zjvXXVtog",4,"none",0,1,1,1,1,0,0,1,0,0,1,0
"622","bfF90MspMbqLWdcEU9JLcg",3,"fullbar",0,1,1,1,1,0,0,0,1,0,1,0
"623","TLr_AFOnq4TK_qNGRQzloQ",2,"none",0,0,1,1,1,0,0,0,0,0,0,0
"624","F06m2yQSPHIrb1IT7heYeQ",4,"none",0,0,1,1,1,0,0,0,0,0,0,1
"625","D74O-i-iEWo-e5BpwFMcUA",3,"none",0,1,1,1,1,0,1,0,0,1,0,0
"627","LDxapKCuUbH-G24O4vjD7g",3,"none",0,0,1,1,1,0,1,0,1,0,0,1
"628","pGjtxXBq4tZcdKdgTU-Tww",4.5,"none",0,0,0,1,1,0,0,0,0,0,0,0
"630","S3-JpB5dBhMXmauMqeoN-g",4,"beerandwine",0,1,1,1,1,0,0,1,1,0,1,1
