rn,total_checkins
LxgronMsFYjxIfRojmVdYw,0.0
9Ioq8wnP0H2PhajGW1jXzw,45.0
sF6_xqqJDm6QHNNK_ACd-A,314.0
DXCho3TSX6qKsRoEjGoGJg,187.0
7GcikclqpUSuYisMdgHvGQ,392.0
tLSgXuy0g8nxX6Xgb7nvrw,62.0
cny7n93eJH7MskcnT8nabw,0.0
YWm5z2mu-C-pUuL86fcFxQ,14.0
zcfmbmOEX83YL04f9_Y0BA,23.0
CzUUmNWYINyh4y0_7_elpA,0.0
BZ8nUf9R4sa1S-9sU6AjRg,19.0
IWNbZymAICpqSgBvl2EVzg,360.0
24fW-8hK0hs5KvEYWwWNDw,19.0
MR8VDdN8PclEFt4BpBO3bw,323.0
f-Nk4rNCmJhYom1_6RdWqg,3.0
c7ZTyqSG4v4ZVwK3vuDklQ,241.0
Gi48Z9ZPlEUgQU1xo_7Hjw,123.0
XAgJSBOBGw4_qqRsO60CNQ,442.0
8gVq0xCXVeAAS3-nsifAgQ,3.0
x8h3A9dOKux99qAp6Bakbg,0.0
4tZHw6ZAjEuqTBtU1C6-ZA,4.0
ZjMNad9hCvBJficJA0bFRQ,1.0
BtwsfkMVwm5criRwpUAOJQ,24.0
9ySFD8tMkeuTclyWfanI9w,0.0
YxbldvyQGgGDTO9usRHe8w,0.0
1lujZNJqP5s966L0PRmRrg,4.0
dpblBM884TnUQQ5xusFMlg,3.0
TTVXY5vOJDqC0_Je8UhK8A,1.0
xkdgCrkgfbI80Htst6-Lbw,59.0
-R_dMb9Z1eBv_FlYZrrKbw,0.0
LDxapKCuUbH-G24O4vjD7g,3.0
bLh4ysq5RsbzCNSjqHhwyw,35.0
-_AIYUuchxDMe7fUCxtxMw,53.0
Tiy_skxHMvNCpyzAIqv6qA,130.0
ffUCy7Gd8Gr28oK5mHOjsw,0.0
VSu7GYn-Zln5TLZh_fMtvQ,11.0
nksNl3FSAahVMbE5z0wnRQ,5.0
e-finkL51hroOJ0GZ8jcXA,2.0
MmilEd3oPSD2n6jvBnxd_Q,4.0
hBNWISOVQ_4c7yzQG-g57Q,0.0
8Do8TCvBlRLxCIoBYoL4rw,0.0
Z8SXv1u_6rKicQy9P7G6fw,75.0
dTtMrvC0UoDV-3-8diJYLw,93.0
LG6vpg5Qx_DstY2aT8-O4Q,10.0
ovAZCKULbgEE6BgGlAQp7g,203.0
vUhxuFgKCZn6cTZePbhd6g,1229.0
AcW_Km7jkGBr4rJdIrIP4w,18.0
wpJcD0Qv-q4ShVJYH0hMLw,5.0
5aWjeN0j0u6wFn6ZsHnEvg,168.0
GJcodz8-2m7_BWzUfqlccw,0.0
hbXM32Np33qJYmx8HUtXXw,1.0
-ZaQKvtRGQA-4FoUE_1s4w,0.0
v14P9-vB1yjxFfFEYEWudw,1916.0
NvyjzqSF55Ghe3GrIIYEcw,354.0
38aN0fB_zHtkw1kb3lSj8g,101.0
0PJQ-WR-S286xH6m2RWeQw,767.0
mbfu9ag4VQYIi6dvhCX2dQ,1.0
5fmhGouEy_7WLloRyXRyUg,11.0
98gLNkYYJCg4f_uJ7o2wBg,12.0
7OKQ4ENVfPfxtDqFOG7x0g,1.0
by7BOr074_BKz7hkRIi9WQ,4.0
2d9yZ11uVa83OEQWxe4vlQ,14.0
QnJmteSnJgEc7PfJ45imOg,0.0
3v1c2BsFFcWlpV3S3LS8dA,40.0
GvBGYrTb6HKMA50TuVQztA,21.0
0fkjHTNaMCT4FjZqaa4euA,17.0
tpB9UQNi4xaec7jdZqh9cg,15.0
wGPZCNenq5HYb50Ip9NXAw,0.0
prZHC3I8JUI98n9iJVvDbw,462.0
v1G_bioP6POazUyQwHcz7Q,0.0
n5wZxYrle8ROuK-Saq-yyw,89.0
l_pR3x7v2mvE3luVdmGuoQ,92.0
a3ZqjElMgAe924sbXZVcvA,8.0
6a4-SPP4QJbJuHoMhPKnVQ,7.0
izOvku5li7kyzY76UzLP2g,2.0
IfHkboQZGPZkKpqHZCW4ag,175.0
jCf84-Amxm91rbNAOJtAcg,25.0
BIqsItY0vyOshMpJ0I4cPg,351.0
Qq0rSY7QhCJiLUEkx0JTrA,168.0
T6qjr_kZSH8GECSoMbx8sQ,89.0
4y8LLc9tuxqKhDSeRDUTDA,364.0
z5y2HCST-6ME_mrlpXG0UA,197.0
HVdeAldgSNW2P1zZJ1TnWw,0.0
77UgkEWSP39EHE8B_41hPA,1.0
5qtc1s-TKdgzPccKwY4SRw,4.0
drEybjNyjXIG-qvOisPEMA,7.0
LbeJgPgKKHw5qH0f02NHEQ,147.0
ndq4rJcFLMbMGU_gK5u79Q,6.0
ZYof0WYlilJ3pgWNSgmYKQ,71.0
zb6RpofFD-rmpXqHVdXZbQ,13.0
BY1_pf7FHUycHOwYEenDlQ,6.0
qa6aqyXmFsOMLt___P6wLQ,4.0
5dFz332M4vPK9k5gbx90aQ,0.0
3MntE_HWbNNoyiLGxywjYA,24.0
nNz_7luh2aD1_U9N3tJUMA,11.0
xUsLyzWQId6nXwNDVq08qQ,2.0
pzy9xWQqsDxVU6j9MktRJg,382.0
KzLjbXEDH1e1WrfzrrzZKw,17.0
aHVhlCvmlNnnPf-LgclNNA,19.0
-fTO9qRo70bblJmbNxOnag,5.0
JUiIEt5wW7ImwOdpEc-r0Q,0.0
yOBDY3fpaTpX4Q5JpmExMg,156.0
njmcKc7_7evWjUcrutdRkg,0.0
N9JASBwB9kWtK0_EjTa1nw,2.0
-qWLEeASD3h1gl9qLipWEQ,0.0
TsCq0UqOrKJ_ZJx7KKwKkA,9.0
ujYrcaXEbxj3KH9r0-FgWg,2.0
0iJcWcDjaC4CVpR0uQFe5Q,6.0
S7FgGl3c4hkRFQKMjLt-Og,2.0
y90JVPFQ_TWGQaBhHtSm3w,423.0
a5xUI7TvsNhM5gZr6KowDg,113.0
67FzueRMlcTQV3Nuep2qPw,12.0
jUxLgiiYKnsM238eUZUqlA,44.0
B3H60GaBic12F4VLBi7-9A,6.0
9h2W6JBWILS_RwlpIBSEig,192.0
go623pgRx2nfIpsV4ePHXg,5.0
NxHLCT3PuylmuEDOsZfxWg,1.0
QnD4hpjwW8QySEh2R_UHpQ,1.0
3R28YY7Jw_EJs0-X8qDArw,13.0
2DO-8SvPvx1rACloHiD9Mw,5.0
kPr9rYEkGwbRLgUHvKljQQ,1104.0
_2O4E4qEnfSKWGnopxRxtQ,2.0
SBPttAVjzEnN3VE6sKiaMg,19.0
XCZQdoMRFnjmmB6xPvx1qw,31.0
9-yw7Dh6fMl-Wgnq0vD9sQ,228.0
9Zhiktm7_LYN_uxaT9XEhg,12.0
hpqfvUCTTstmCFoUg7q_pw,0.0
wEisic-u9Yj543iYzfpAhw,186.0
b8u5AasAkEcqTwKlSjcHIw,2.0
S3-JpB5dBhMXmauMqeoN-g,353.0
_n7WS5jqFs89WHOINineqg,76.0
cPfnF9PAvVjamEdZM3wTzA,1.0
lXrsrmIcbOstYC2vtip8ZA,103.0
GaOI1biRNa2gJIdM_SED5w,69.0
IpH4Ngf30TLTBljWvOOt7A,202.0
H8NK_pWGq4i3L92ZpaUaGg,0.0
F4_J5hOJO3wIP4UozaL4Bw,188.0
3fblSVANhY1YGnwGstRL8w,420.0
ydUqgWsF3F27TbauOyib0w,36.0
ESa_7bd1x9sD-Nd_gH0Xrg,36.0
KxqAQ-CJcAPDTJbrnQUTfg,37.0
8PNXDkWz3hyZFi7E4tYhjw,56.0
tnRZmWnVnq25S0Hd4h-L_A,1.0
pUmECN5N94AQAe0DtptuYA,31.0
L_X5eAd4moE40AsX6Havhg,127.0
YaGkCO51sV6MLavJ3XUmWw,0.0
BShmKdQIkKmB89fmvOe9Nw,0.0
Eqd5QGaW7_C-qHNGzs1uUg,263.0
fjJa1py5jnLAUJDOrHhu8Q,7.0
uwxj0XXWOvm8xdhZ-33Vlw,112.0
JQWIZ8MT-VGZzO5W5XCB5Q,109.0
IusBltP6n8tGKm3LU0TRtQ,43.0
kKDC53Ru4f0of1oF--4wbA,0.0
44IAhkyHsBGMrggWm1HICw,0.0
6_YR7epdhDWU_E5Hj4nZrA,0.0
SVYcZ8PpxvNYirHmFa6gWg,0.0
Lku_keJf44D0LxbRAIZOcg,34.0
-pL4Id5cuz2yC2UKi2Yq9A,202.0
A4uc3-zbHowQeR_u-7VNOw,0.0
FnTbrBUCuaSOlWnovTgMjg,11.0
rvsye09KiUNW_Xa3mygo3Q,3.0
paNjgpMDRhNzBj6xzhHPVQ,88.0
kOUnvmGamiw90BfmthoQGg,103.0
PpyM9QsDbpx4mOaUeOll4w,289.0
Es-MfCr79uHI-CSrzkea-w,39.0
ceuvH6NpDhpT1p4q1w93pA,195.0
ifS_MYR01fLB0aRw0AQy5Q,7.0
9w18Hgg_UmI18YyVTP_E3Q,55.0
pOwziZ1OSMO7KYiIPJA2Zw,12.0
09rrBZxweCdx25dVoqEasg,0.0
FB2iUwS4-LMLBQVyLZmZfQ,161.0
4LAtkaAPEnWSdWbTi0kHJw,0.0
t-rivl_ISXvrh829BkRFKg,57.0
ZAcldWPPzu-vMoJShkEv2Q,23.0
NMw6zTXoZDEzNchVIfL1pQ,202.0
__eb2f_wEBrEl0xCyLqDeQ,0.0
B60N0Fku2lkuQpTJ6t-E7Q,0.0
ysa5MEfWqybujFjsiXq7Lg,3.0
BJwBqOe8poLbpaC3gyj6yQ,205.0
ZPWEawq1b37IcMFH9zA-_w,87.0
D3IfloYiVWl-WKnk7msdAA,1.0
sH3UsolKjik01u0HlQ9_0Q,1541.0
EaIho6EvTuODNHPLO98yeQ,235.0
gZByUgIJsYIcZCGs--4Zhw,69.0
4BEl7jCbias-xEr-LrA1qw,415.0
3jlyMZjr7tQwXnoOsN_lQQ,0.0
-fX1N-Pg_kxa7KK6gCv8Ag,13.0
gqo-fkQyjs4ojJnDIsJyiQ,563.0
a_ozcQNKgUOW4Lr0NQq4qg,330.0
1hceMTsoDKL40bgIqp1xkg,109.0
9_A_ka0LR0xr0EDb_nc-gg,52.0
qaJ-HewyVAQCQ8C_KveZ4g,198.0
cabOEjEmUdFjDwe67HpXkA,101.0
a9vzUNNZS6Z75ONo_p-WaA,37.0
lptw12m0hIetAaRc6mdmAA,35.0
UFVy-8WC7pDzvBUzOvdwzA,220.0
j3SHAiF8OIlY3kUPnAAlKw,314.0
qmd7qiygopG67rxb_3190A,0.0
Mi1IdbjqjGoYK09oDu8JVw,0.0
j3lG-ZqQXUQl-ImNcWHbVQ,8.0
lWrgqhLk__ALVurHuJqcUw,27.0
Il6PvYFjolMt-6wahwarkA,1.0
ViqaAee3jNQkMNlu5FEHMQ,2.0
Yc5_nA9NqqxOp8WCugF-Ng,127.0
8yEFijvcNQ9JIGVWc3EgUw,1398.0
O2opXFPnTG-Pxa_u-3w66A,165.0
I5cGJJw5-VXJtxO58WfuLA,2.0
BaHMCHFuuVpVUV_wOInnOA,40.0
wC-wLFVCIjXArsrMuUJdYQ,56.0
e3dbqeMI4k1Jl2VBCq9rNw,5.0
5UkvIlQLgEkHg9fCI1yUmw,1.0
KljAJzE4WuV1ay503jjP6w,3.0
Oi-u4KqrcZbIWSYKnh7mJA,93.0
R8U89M5NjaL9wf-6k4H1xQ,22.0
90eu_fBWXfcRehAJVfsOIg,1.0
chBeDQdaZgrb8iOzqgeCDA,54.0
-LAiusd8GnWFR8atxbT-Vw,29.0
7TUhNJn9fiaQ6x1YdMt0fQ,493.0
xRI-wLujxqL4KzCdO3yTgA,495.0
rjKMTKPsjYw4RtiMpHquJA,1.0
x0nPQOsfh_fy43-M-iCbRA,0.0
B1sevFEjgsKPvkTz10ESJw,40.0
MKd_EUD0PG__cOfIbeqYAg,137.0
Rx6PF3O6Q8pJz8dLMJZfKQ,328.0
-AtzcXIwEP6yO7rM9CM9ww,20.0
epDgoVgwtpgxtiTMTOWajA,281.0
BGGR5ekPK6YqMRHgYNJGsw,185.0
Tr8TJnMoSgBvfZvmCx9-eQ,96.0
K0VNhFhaOrO3CypCqofjwA,13.0
N0CiUqvyVH2y9lcNdfNzXg,216.0
3vSYu180m7yhOD_qaQUCTw,218.0
gwo0iQlgQIKGXGTJYqWc7w,4.0
8S_6ltVRDCXp58xAAlVPAw,42.0
K6eK4nCFDx1p5akiRPwfew,2.0
YkR0ATqHY0bt__7sVI6R2A,214.0
k9pQa-48qARibpa-Yf0xYQ,0.0
jBKJMUcMuBmHqe5_U7GQ0Q,105.0
USHY8ScdVj6NhybPvYQRRg,13.0
szlIcLQE7K-1JuKeJIRKsQ,28.0
SDdB_gFAWW23cNmtwT-dAA,120.0
V_VQ9BgbLEzL9mPLQQlc6g,453.0
LBo6xt00kPgnFU8F7pSKBA,39.0
I9Rw9CSZPNKvIYG0gOHOjw,486.0
cFWfBh_oCv85WFA6ehP2PQ,1.0
iN05YIebDTnlTz3kfuyfBQ,2.0
nvGs9t11xAMlhzG5wT9R3A,61.0
7rh29SPJMkyeI2BJcjqzLQ,112.0
JpxjQWZbmjWlgAeMSVNGBA,26.0
jDZJsIyc3jXjcTtJk_p8ZA,165.0
L2djnd9r9-WDPG7JKmdLfA,16.0
b8fEuQPrf383f6pzdm8-1w,849.0
LdJljAqDu3UcIZldHcvJSQ,16.0
_gCfwQH8IxctGtMDEh-pfw,54.0
U9tVOCkuhs-1rR8Ol5nO0g,3.0
x4rPP40pYR5yMqKA77AGkA,0.0
qR5xHLWGJXvuWLTTwCYkLw,0.0
o_SI7PKxCaOd9pjJ0s_xvQ,354.0
ed1KHQwsAYyFDrlUdwqJBA,0.0
8YyBAyA3TKpaVxy99FRWjA,5.0
78g3rIFPysoo2SockVvi6A,2.0
EBwKRtjNeTjA5viMpc5lqQ,5.0
360rdTo6CDmpsFyUK-g0Og,27.0
TCFWN9ul1lkq3DRb_3zugw,291.0
e7M2GgkCfDYTxdPN1LL1sQ,54.0
WRsx6oYB8vtEM24auz275A,49.0
Gsbt1IoWkjrh9nExM7BIFw,751.0
bOwvJUb8A9MekXsK_SrftQ,0.0
iUYQXRqDY1O15wTZUJ-LjQ,80.0
_IAxXD30S4ODGh92m8tLJw,74.0
W3YejsFyM7i9nnK679nyfw,42.0
h8eDSoKHpp-4l5G5_JPtFA,381.0
oopfFjmzxgkDB0tt160nkg,0.0
gDQlaDRAjsCx2p_p6oJLjw,3.0
YBddInm3xP6k9iOowm1EHw,102.0
u7fc6_zgJEnEq3rEkC1gBg,0.0
IZ611uJBaWPAf-q0R37Nmw,4.0
tXZxc-3HcXvj1Z-Tzs4Mkw,62.0
ZMGVkiQUY48C0AvRcCCL7A,70.0
FWT5bnR1gTJK77tKL3qyJQ,144.0
v61dL5IvtgMwYBDNopvPYw,2.0
HJ5XgFiNjz4arYS3n27_jA,248.0
87rslhpXfVcJXN1_DiUQ9A,25.0
5X1stJTur_paJFZ9TTuNIw,5.0
u0Kzq5WYm0z29PTRAenzCQ,528.0
45wDLpgW2BFrCRqlf19Efg,2.0
2-jyqX-PonxUSZQugyCOAQ,77.0
ZWbJlxV7sdxBBgyw_-4vVg,0.0
-Lovf0jkQtvb6Y_WjDn-sw,15.0
Quh8Fjutyw15B6ZGZEf2gA,14.0
vpwyL6NHm-pTWJ5IeJb9yw,35.0
0u4Lmqi2hPCwwxJMbA7-ng,6.0
l8IqBeFXK3dqFEs7YL3ukg,1.0
Cf0iV72DTqR0ggBje2d0sg,1165.0
nFUyQLerRzNVZFDZFVSbAA,35.0
Tscoq9kue8_J1ySO42_ItA,337.0
dd2lOVfpM3nLbcJs3Gq0HQ,216.0
P7xBhyVUoPwgxeuGUPnxJA,675.0
_90zPZXAohZpRLGOx4ExrQ,13.0
VObfskmUmh8vdpx60lruOw,58.0
5eKk8dA1QtKaQr_5i_SCRw,280.0
KpZVjFlpUFbacJHRTNS84Q,13.0
61NPgdR5sMwAWw0CI78nBg,209.0
3kPqtmL3EdfhCwxfIHT_iQ,34.0
SV8y4bp5HmgURzvUC2Rs9w,12.0
bCVRNEKQyrQqMRxvsiztyg,47.0
VN-U7_jmLOcc5QINTlK5zA,38.0
NG5qynmV0kzxQMFJG7mhEw,0.0
fjE-jiwnTQysz-rLl6YMQg,4.0
czJKX4DmZR_1JeRmPcnmbQ,115.0
lJc5WljtIAI6hBqzKbn_HQ,0.0
Tz4fdGixKO3_HvOh8i81Iw,0.0
Cj6FN6h8EZWTcPB3h7I0Ow,14.0
Ve6bA_jf9A7EWKXeyWf7PA,17.0
NrokuoWJAy_VbMprivfAIA,9.0
YZOcw84UaQr_yGHhulXBiw,660.0
mBycrsguRPhI0xtFBzsz_w,123.0
kL5LI_GYZJkkP73wl0Qtlw,0.0
EkrQy-HGatKn-2PTssaJ9g,0.0
L4r6klm7FG4QBbNe8gu5-A,704.0
bWfwTLWvrGd1LPwDKzq1WQ,0.0
uE6hI5_i4QVq12xU99xtqA,20.0
X47pt6a4ID4aM2ONYdSW8Q,194.0
Oj_74Fa-VtFHXYTOWHMlsA,7.0
jItwkDeMBFquEb7mAvW-Dw,0.0
VVbp-2Bs5_MGrjboTwpSRA,0.0
YhBigRwAFdRPIQxWDjZOrQ,116.0
2LVuwl-eH-8PYikyFmqcTQ,11.0
ccdcyzc1oSucd-qRlnYR0w,1.0
G7QZWVm-ytyKHpvUq3ggFA,9.0
OaDijC3QRwxw9uTadyWIsw,0.0
uyoZHZzHaZpqMzXovJxDTw,105.0
nWx5GEaJ1dpc-psAbG_v5Q,51.0
xpAm-NN8JQbL5JdBal_Ptg,85.0
XH4jDFKyeCI7qkKq6PB9Nw,111.0
I0f12eU-xFn6Kd_4H57jrQ,291.0
UE3owaCu9En1RD7jTR041Q,117.0
kbTAyySlUZrTAr0nJOjiUw,227.0
qoiUo-7k2ATm0eokxNr8nA,23.0
i8hkzA5eiUXgbPjN8vK3rQ,257.0
KB9ojpV8g5G1hHS6ec4eHg,31.0
618yZxC6stz-Un4xLsp5vw,104.0
rcvX62QPMKs_ddYitm4Yag,14.0
O3y-5O1n5l0ge_6KGyR_4A,494.0
D9unP0Qn78z5HkaeT4_PTA,13.0
rYVIEEW5O3ZUKCqNg1hiNA,14.0
js1mMgFD4DEC5tGzpp6APw,823.0
rtT7RqERpHbRYOiTIgGszQ,548.0
tjaPPgXtVnP8RYmSqlsGww,1.0
b9b58YAzTzgOZDREH_cDfw,16.0
ZTCKRVCjdcb2eS_-260O2A,0.0
s19MqjZcquoj4h5-8m5C5w,1092.0
dYZqJ2S1ND9KghLIKJg71g,8.0
p91DHXkz5o_k825LwQPK9g,8.0
l4idpMNjLXY59NI9np-JOQ,0.0
QiuTcA0bKQMCyOFBFJZ58w,83.0
vAh6WNioOEw7G9tGhd_JQw,511.0
B19KKE75ZxqoR3EDuvA1qw,54.0
Fq6tvdwtKV7Kk3_33oONQQ,14.0
M990h0-4g-wpJN-qlnqFAg,151.0
xmeEyBVC5zN-FCX5qZviIQ,39.0
FIhNVl-AFxrjb1-puoFF_Q,14.0
_CgBou-sE-UW2j4otiKtlw,6.0
9ehTNgvu0vZgHjWkQqF6KQ,188.0
QteBKpZTRa2dJ3u7MLiXww,626.0
NLTfEyC50pz8a29CYRqvtA,1.0
5llCyMtS_WyUVKXCtpdaJQ,1129.0
AwBCgvegeFogpb3lpmpCuw,11.0
iUGdlpOMN8f0PTydikdxyw,1.0
Qor28v4BlhSwtN8DSvah9g,314.0
9SHoWGXsGOCa5hOjBOzPtg,2.0
gbWVf3a6tUailTJRvvVD4g,0.0
KJ6DuC0Jve9hAtzM2SGNOQ,15.0
nGjqCFbLPeBJe55Mx-nIEw,58.0
BjbR39fp7BnurXAq9gNNEg,1.0
G8LBVca1vOBKYeMCMpajGA,96.0
f5AenP5rsrnLo9tKtenIew,23.0
HPIuW67C3FJrTsPs9RCkuA,370.0
c75jLTjlgA9q3gImLEGT6w,0.0
TrN8HBHBL4-Tu7cXMDoopQ,299.0
OM31QC8tyTOXZgK0FDz_hw,103.0
kfo1hXvNtGGThfrZGaWtVw,47.0
i5EhA_T8_eWLr4_4DGDS5w,3.0
H9tOBBx3c5ILzEOCITJfSA,1391.0
vUYz-JgVTAtUGUbQuF7czw,181.0
